Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS,All-NBA
1,11.9,0.533,0.181,0.293,6.9,20.5,13.5,8.7,1.1,1.4,13.8,15.5,-2.3,-0.8,-3.1,-0.3,1.7,0
2,12.8,0.489,0.291,0.267,4.2,8.7,6.4,10.1,3.4,2.3,12.7,20.4,-1.8,1.2,-0.6,0.1,0.4,0
3,14.1,0.549,0.005,0.514,12.2,19.3,15.8,5.5,1.1,3.8,16.8,14.3,-1.4,1.8,0.4,1.1,4.1,0
4,14.2,0.494,0,0.864,11.9,29.6,20.5,10.5,0.9,3.3,12.9,14.3,-2.7,0.5,-2.2,0,0.4,0
5,10.7,0.533,0.377,0.224,1.1,9.7,5.3,8.2,0.8,0.2,10.7,19,-0.5,-1.3,-1.8,0.1,2.6,0
5,11.7,0.533,0.37,0.23,1.3,10.2,5.6,9.3,0.9,0.2,10.3,19.9,0,-1.6,-1.6,0.2,1.8,0
5,8.2,0.533,0.396,0.207,0.9,8.5,4.8,5.5,0.6,0.2,11.8,16.7,-1.5,-0.8,-2.3,-0.1,0.8,0
6,19.9,0.595,0,0.301,12.4,25,18.7,8.2,1.2,4,15.6,21.1,-0.5,0.6,0.2,0.5,3.2,0
7,12,0.517,0.064,0.346,14.9,20.7,17.7,8.3,1.6,2.4,15.9,8.6,-2.7,2,-0.7,0.2,1.4,0
8,18.1,0.513,0,0.213,11.6,28.9,20,13.3,2,5.5,15.2,18.3,-2.2,3.1,0.9,0.7,2.2,0
9,22.8,0.528,0.074,0.256,7.7,22.9,15.5,9.2,1,1.9,7.2,30.2,0.3,0,0.3,1.4,8.6,1
10,14.9,0.493,0,0.157,12.8,20.5,16.7,10.9,0.7,3.1,11.1,15.2,-1.4,2.2,0.8,0.8,2.8,0
11,14.6,0.528,0.064,0.277,7.2,12.2,9.7,8.1,4.1,1.5,14.4,16.6,-0.4,3.7,3.3,2.2,4.1,0
12,14.4,0.504,0.347,0.331,9.1,18.4,13.7,6.1,2.6,3.7,11.9,15.2,-0.5,2.9,2.4,1.5,3.3,0
13,11.8,0.442,0.004,0.341,11.3,22,16.5,12.2,1.2,4.6,17.5,17.4,-4,2,-2,0,0.3,0
13,3.8,0.387,0,0.417,7.4,21.5,14.5,8.7,0.7,0,26,11,-6.2,-0.1,-6.3,-0.1,0,0
13,12.5,0.444,0.004,0.337,11.6,22,16.7,12.6,1.3,5,17,18,-3.8,2.2,-1.6,0.1,0.4,0
14,16.1,0.622,0.063,0.551,8.2,23.2,15.9,6.1,1.2,4.6,13.5,12.3,-1.2,2.3,1,0.9,3.6,0
15,10.6,0.563,0.477,0.23,2,11.1,6.6,7.2,1.7,0.2,11,14.2,0,-0.5,-0.5,0.6,2.7,0
16,8.2,0.389,0.124,0.157,1.6,20.8,11.4,10.9,2.1,1.5,9.5,13.4,-5.2,2.4,-2.7,-0.1,0.3,0
17,15.6,0.524,0.492,0.207,7.3,12.7,10,5.4,1,0.9,7.2,23.4,2,-3.1,-1.1,0.4,3.5,0
18,14.8,0.552,0.056,0.445,4.5,19.7,12.2,13.1,1.5,2.8,15.6,19.6,-1.7,2.1,0.5,1.6,6.2,0
