Rk,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OBPM,DBPM,BPM,VORP,WS
1,14.7,0.629,0.229,0.318,8.1,15.1,11.6,4.4,1.6,2.2,10,13.1,0.2,0,0.2,0.5,2.5
2,17.3,0.427,0.167,0.833,0,15.9,7.6,31.9,10.3,0,19.6,30.5,-2.9,4.8,1.9,0,0
3,15.5,0.621,0,0.46,12.5,16.1,14.4,4.3,1,3.3,14.1,12.6,0.8,1.3,2.1,2.1,6.5
4,10.9,0.531,0.298,0.164,1.1,11,6.1,9.9,0.5,0.3,8.7,17.9,-0.6,-1.8,-2.4,-0.2,2.7
5,13.8,0.514,0.003,0.197,9.3,25.9,17.3,5.8,1.1,3.4,13.6,20.4,-4.3,-0.2,-4.5,-0.5,1
6,21.3,0.626,0,0.373,11.9,27.1,19.6,10,2.9,6.7,19.6,18.4,-1,5.8,4.8,1.4,3.5
7,22.4,0.565,0.015,0.289,9.2,22.2,15.9,8.1,0.9,2.8,7.8,25.9,0.7,1.1,1.8,2.2,10.1
8,11.6,0.5,0,0,6,12.1,9,0,1.4,4.4,9.1,13.3,-5.7,-1.3,-7,0,0
9,12.4,0.532,0,0.197,11.1,17.8,14.5,7.1,0.8,2.1,14.6,13,-2.1,1.4,-0.6,0.6,3.7
10,12.9,0.505,0.09,0.294,7,14.1,10.4,6.9,3.5,1,12.8,16.8,-1.5,1.4,-0.1,0.8,2.4
11,12.7,0.533,0.485,0.217,4.5,18.6,11.5,8.8,1.5,1.8,13.2,16.9,-0.4,0.7,0.2,1.3,4
12,6.7,0.401,0,0.509,12.5,13.7,13.1,8.8,1.5,2.6,18.8,17.7,-5.3,0.4,-5,-0.2,-0.1
13,15.3,0.598,0.194,0.5,9.9,18.2,13.9,4.4,1.9,2.9,9.3,10.8,-0.3,1.1,0.8,0.3,1.3
13,17.6,0.553,0.5,0.4,9.8,18.3,14.2,12.2,1.4,6.4,14.5,17.5,0.4,2.6,3,0,0.1
13,15.1,0.605,0.145,0.516,9.9,18.2,13.9,3.7,2,2.5,8.4,10.2,-0.4,0.9,0.6,0.2,1.1
14,9.2,0.495,0.627,0.254,0.6,15.5,7.9,10.3,1,0.4,3,15.4,-1.2,-1.7,-2.8,0,0.3
15,6,0.469,0.483,0.163,2,10.9,6.5,7.7,1.4,1.6,18,13.7,-3.9,-0.3,-4.2,-0.4,-0.3
16,12.3,0.522,0.474,0.314,3.1,19.3,11.2,6.8,1.5,3.2,10.8,15.8,-2.5,1.3,-1.2,0.1,1.1
17,12.9,0.528,0.125,0.281,2.4,19.4,11.2,13.7,2.5,1.8,15.1,14.4,-1.9,3.7,1.8,1.2,3.5
18,17.2,0.546,0.385,0.245,7,15.2,10.9,6.1,0.9,1,8,24.7,1.5,-2.9,-1.4,0.3,3.9
19,18.8,0.566,0.108,0.404,4.6,20,12.4,20,1.7,3.4,14.8,22.3,1,1.5,2.4,3.2,7.1
20,32.9,0.75,0.25,0,0,17.9,9.1,0,0,0,0,30.2,6.3,-10.5,-4.1,0,0
21,20.3,0.53,0.237,0.308,4.3,19.5,12,21.9,1.3,1.1,10.6,29.7,2.8,-0.2,2.6,2.9,6.4
22,14.1,0.666,0,0.8,8.8,15.4,11.9,1.4,1.1,9.5,12.9,7,-2.8,5,2.2,0.1,0.4
